source_id	source_name	primary_use	analysis_stage	version_or_release	status	checksum_manifest	limitation_or_note
xena_toil_tcga_gtex	UCSC Xena / Toil RNA-seq recompute	Primary TCGA-STAD vs GTEx stomach RNA matrix	source acquisition download; inventory metadata complete	Toil recompute; matrix Last-Modified Fri, 09 Apr 2021 20:01:53 GMT	metadata_verified_no_matrix_downloaded	data/checksums/xena_toil_sha256.tsv	Expression unit to register as log2(TPM+0.001); phenotype counted without downloading matrix.
gdc_tcga_stad	GDC TCGA-STAD API	TCGA clinical, biospecimen, STAR-count RNA-seq sensitivity	inventory metadata complete; source acquisition selected downloads	GDC API live query	metadata_verified_no_raw_downloaded	data/checksums/gdc_tcga_stad_sha256.tsv	GDC STAR counts are secondary sensitivity, not the primary TCGA-GTEx matrix.
cbioportal_stad_tcga	cBioPortal TCGA-STAD clinical	TCGA subtype and legacy clinical field availability	inventory metadata complete	stad_tcga and stad_tcga_pan_can_atlas_2018 API studies	metadata_verified	data/checksums/cbioportal_sha256.tsv	Used for TCGA molecular subtype counts and legacy histology fields.
hpa_downloads	Human Protein Atlas downloadable TSV	Normal IHC, cancer IHC, subcellular location, tissue RNA cross-checks	inventory metadata complete; source acquisition downloads	HPA 25.1; Ensembl 109	metadata_verified_no_raw_saved	data/checksums/hpa_sha256.tsv	HPA final5.1 replaces older plan filenames normal_tissue.tsv/pathology.tsv with current normal_ihc_data.tsv/cancer_data.tsv.
uniprot_reviewed_human	UniProtKB reviewed human	Protein identifiers, topology, TM, extracellular domains, signal peptides	inventory metadata complete; surfaceome universe ID mapping/topology	2026_01	metadata_verified	data/checksums/uniprot_sha256.tsv	Universe-specific reviewed coverage waits for HGNC/Ensembl/UniProt mapping.
depmap	DepMap Portal Context Explorer	Gastric/GEJ cell-line expression and CRISPR dependency evidence	inventory metadata complete; inventory1 optional annotation	DepMap Portal current release; 26Q1 label observed on portal	metadata_verified	data/checksums/depmap_sha256.tsv	104 Esophagus/Stomach models; EGC subset is the closest adenocarcinoma set.
pdc_cptac_gastric	NCI Proteomic Data Commons gastric/STAD studies	Incremental proteomics, phosphoproteomics, glycoproteomics, and related omics	inventory metadata complete; optional after HPA/scRNA/external RNA	PDC GraphQL live query	metadata_verified_no_raw_downloaded	data/checksums/pdc_cptac_sha256.tsv	Candidate gene protein coverage remains TBD until Protein Assembly reports are downloaded and mapped.
scrna_gastric_candidates	TISCH2/GEO gastric cancer scRNA candidates	Malignant epithelial vs TME specificity layer	inventory candidate inventory; TME specificity fallback quality gate	GEO/TISCH2 current at access date	candidate_sources_identified_not_downloaded	data/checksums/scrna_sha256.tsv	Do not include in main score until annotation quality and processed matrix availability pass gate.
external_bulk_rna_cohorts	GEO/ACRG external gastric expression cohorts	External RNA validation cohort	inventory candidate inventory; tumor expression-7 optional validation	GEO current at access date	candidate_sources_identified_not_downloaded	data/checksums/external_bulk_rna_sha256.tsv	Layer is incremental; avoid delaying primary if batch/platform harmonization becomes expensive.
structure_sources	RCSB PDB and AlphaFold DB	Candidate-level ECD/structure annotations	inventory0 candidate-level optional layer	Current APIs at candidate query date	source_declared_not_assessed	data/checksums/structures_sha256.tsv	Not needed before scoring; used for candidate cards and modality discussion.
clinical_druggability_sources	Open Targets, ChEMBL, DGIdb, ClinicalTrials.gov	Clinical/druggability annotations	inventory2 candidate-level annotation	Current APIs at candidate query date	source_declared_not_assessed	data/checksums/clinical_druggability_sha256.tsv	Used for candidate cards and tiering context, not to inflate discovery score.
