control_group	source_gene_symbol	source_alias	resolved_hgnc_symbol	gene_mapping_status	alias_mapping_status	isoform_handling_flag	target_context_flag	expected	rationale	mapping_note
positive_controls	ERBB2	HER2	ERBB2	mapped	mapped_manual_alias		gene_level_acceptable_amplification_and_protein_evidence_required_downstream	top_50_in_balanced_or_documented_biological_exception	Clinically validated gastric/GEJ adenocarcinoma target.	therapeutic_alias|ERBB2 gene-level mapping is acceptable; amplification/protein evidence must be registered downstream.
positive_controls	CLDN18	CLDN18.2	CLDN18	mapped	mapped_manual_alias	CLDN18.2_isoform_unresolved_gene_level_only		top_100_in_balanced_and_isoform_flag_present	CLDN18.2 is clinically validated; gene-level RNA is insufficient without isoform handling.	isoform_specific_alias_requires_downstream_transcript_evidence|CLDN18.2 clinical target cannot be claimed from gene-level CLDN18 without transcript/isoform evidence.
positive_controls	FGFR2	FGFR2b	FGFR2	mapped	mapped_manual_alias	FGFR2b_isoform_unresolved_gene_level_only		top_100_or_subtype_amplification_flag	Relevant gastric cancer target; isoform and amplification context matter.	isoform_specific_alias_requires_downstream_transcript_evidence|FGFR2b/IIIb context must be separated from other FGFR2 isoforms when evidence becomes available.
positive_controls	TACSTD2	TROP2	TACSTD2	mapped	mapped_manual_alias			ranked_with_normal_risk_flag	ADC-relevant epithelial surface antigen with normal tissue risk.	therapeutic_alias
positive_controls	EPCAM		EPCAM	mapped	not_provided			surface_evidence_positive_with_normal_expression_penalty	Strong epithelial surface antigen; safety/selectivity may reduce final tier.	
positive_controls	CEACAM5		CEACAM5	mapped	not_provided			surface_evidence_positive_with_specificity_review	Classical tumor antigen with variable specificity.	
positive_controls	MET		MET	mapped	not_provided			ranked_or_flagged_for_heterogeneity	Targetable receptor with heterogeneity/amplification context.	
positive_controls	MSLN		MSLN	mapped	not_provided			surface_evidence_positive_or_documented_coverage_gap	Surface antigen with therapeutic programs in other tumors.	
secondary_benchmark_targets	CEACAM6		CEACAM6	mapped	not_provided			surface_evidence_positive_with_specificity_review	GI/epithelial antigen related to ADC and antibody target literature; useful benchmark but not a core positive control.	
secondary_benchmark_targets	ERBB3	HER3	ERBB3	mapped	mapped_manual_alias			ranked_or_documented_if_low_in_STAD	Known ADC-relevant receptor family member in gastric/GEJ therapeutic literature.	therapeutic_alias
secondary_benchmark_targets	GUCY2C		GUCY2C	mapped	not_provided			surface_evidence_positive_with_gi_normal_expression_flag	GI lineage surface target; useful for testing normal GI penalty behavior.	
secondary_benchmark_targets	SLC44A4		SLC44A4	mapped	not_provided			topology_and_ecd_review_required	Reported antibody/ADC-relevant surface antigen with substantial extracellular region.	
secondary_benchmark_targets	NECTIN4		NECTIN4	mapped	not_provided			ranked_or_documented_if_expression_low_or_risk_high	Established ADC target in other cancers and discussed in gastric ADC context.	
negative_controls_intracellular_or_secreted	ACTB		ACTB	mapped	not_provided			not_top_100_and_not_surfaceome_core	Housekeeping intracellular protein.	
negative_controls_intracellular_or_secreted	GAPDH		GAPDH	mapped	not_provided			not_top_100_and_not_surfaceome_core	Housekeeping intracellular protein.	
negative_controls_intracellular_or_secreted	H3C1		H3C1	mapped	not_provided			not_top_100_and_not_surfaceome_core	Nuclear histone control.	
negative_controls_intracellular_or_secreted	TOMM20		TOMM20	mapped	not_provided			not_top_100_and_not_surfaceome_core	Mitochondrial marker.	
negative_controls_intracellular_or_secreted	CALR		CALR	mapped	not_provided			not_tier_1_without_context_specific_surface_evidence	ER/luminal protein; surface exposure is context-specific.	
negative_controls_intracellular_or_secreted	ALB		ALB	mapped	not_provided			not_top_100_and_not_cell_surface_target	Secreted/plasma protein, not a tumor cell-surface target.	
tme_or_off_tumor_penalty_controls	PTPRC	CD45	PTPRC	mapped	mapped_manual_alias			surface_evidence_allowed_but_not_tier_1_for_epithelial_tumor_targeting	Leukocyte surface marker; should be penalized as immune/TME signal, not as non-surface.	cell_marker_alias
tme_or_off_tumor_penalty_controls	PECAM1	CD31	PECAM1	mapped	mapped_manual_alias			surface_evidence_allowed_but_not_tier_1_for_epithelial_tumor_targeting	Endothelial marker; vascular/off-tumor risk control.	cell_marker_alias
