layer	primary_source	status	current_coverage	unit	required_before_scoring	decision	next_action	notes
RNA tumor	UCSC Xena / Toil TCGA-STAD	available_metadata_verified	414	TCGA-STAD primary tumor samples	yes	use_as_primary_expression_matrix	Download matrix and phenotype with checksums in Fase 2.	GDC STAR counts provide 412 primary tumors as secondary sensitivity.
RNA normal	UCSC Xena / Toil GTEx stomach plus TCGA adjacent normal sensitivity	available_metadata_verified	GTEx_stomach=175; TCGA_solid_tissue_normal=36	samples	yes	use_xena_toil_for_primary_tumor_normal; use_tcga_adjacent_normal_as_sensitivity	Download Xena matrix and run batch diagnostic before N/R scores.	Do not compare independent TCGA and GTEx pipelines naively.
HPA normal	HPA normal_ihc_data.tsv.zip	available_metadata_verified	13478	genes with stomach normal IHC rows	yes	include_in_mvp	Download HPA files and build protein_evidence.tsv.	Current HPA v25.1 file name differs from older plan placeholder normal_tissue.tsv.
HPA pathology	HPA cancer_data.tsv.zip	available_metadata_verified	15312	genes with stomach cancer IHC rows	yes	include_in_mvp	Download HPA files and model antibody/staining reliability flags.	Current HPA v25.1 file name differs from older plan placeholder pathology.tsv.
UniProt topology	UniProtKB reviewed human	available_metadata_verified_universe_specific_coverage_tbd	reviewed_human=20431; topological_domain=4037; transmembrane=5230	UniProtKB entries	yes	use_reviewed_human_as_topology_backbone	Map surfaceome universe genes to reviewed UniProt accessions.	Universe-specific percent coverage cannot be known before ID map and universe build.
PDB/AlphaFold	RCSB PDB / AlphaFold DB	candidate_level_not_assessed	TBD_after_candidate_mapping	candidate proteins	no	candidate_card_layer_only	Query by UniProt accession after top candidates are frozen.	Do not block MVP scoring on structural coverage.
DepMap	DepMap Context Explorer STOMACH	available_metadata_verified	models=104; EGC=74; CRISPR=69; RNASeq=78	models	no	functional_annotation_not_hard_filter	Download selected DepMap release files only if >=5 useful gastric/EGC models remain after mapping.	Lineage mixes esophagus/stomach; EGC subset is closest to gastric/GEJ adenocarcinoma.
scRNA	TISCH2/GEO gastric cancer candidates	candidate_sources_identified_quality_gate_pending	GSE112302; GSE134520; GSE150290; GSE163558; recent atlases	datasets	no_for_mvp_yes_if_SC_component_enabled	optional_SC_component_only_after_annotation_gate	Select one processed dataset with malignant epithelial vs TME labels in Fase 8.	If not available, use TME marker correlation fallback and mark SC as missing/not_used.
external cohort	GEO/ACRG external bulk RNA	candidate_sources_identified	GSE62254 n=300; GSE15459 n~200 candidates	bulk expression cohorts	no	incremental_validation_layer	Assess processed matrices and platform mapping after primary pipeline works.	Avoid merging platforms into the primary score without a clear validation design.
clinical/druggability	Open Targets, ChEMBL, DGIdb, ClinicalTrials.gov	candidate_level_not_assessed	TBD_after_candidate_list	candidate genes	no	candidate_card_and_tiering_context	Run candidate-level queries after ranking is frozen.	Do not use druggability databases to create circular discovery claims.
PDC/CPTAC proteomics	NCI PDC gastric/STAD studies	available_metadata_verified_incremental	CPTAC_STAD_proteome_cases=193; gastric_study_ids=12	studies/cases	no	incremental_not_surface_specific	Only download Protein Assembly reports if HPA/scRNA/external RNA gates are already handled.	Proteomics supports protein abundance, not cell-surface localization by itself.
