source_id	action	local_path	filename	url_or_endpoint	retrieval_date	version_or_release	bytes	sha256	status	last_modified	content_length	license_or_terms	notes
gdc_tcga_stad	downloaded_raw_metadata	data/raw/gdc_tcga_stad/cases_tcga_stad.json	cases_tcga_stad.json	https://api.gdc.cancer.gov/cases?filters=%7B%22op%22%3A%22%3D%22%2C%22content%22%3A%7B%22field%22%3A%22project.project_id%22%2C%22value%22%3A%22TCGA-STAD%22%7D%7D&fields=case_id%2Csubmitter_id%2Csamples.submitter_id%2Csamples.sample_type%2Cdiagnoses.ajcc_pathologic_stage%2Cdiagnoses.tumor_grade%2Cdiagnoses.tissue_or_organ_of_origin%2Cdiagnoses.site_of_resection_or_biopsy%2Cdiagnoses.prior_treatment%2Cdiagnoses.treatments.treatment_type%2Cdiagnoses.treatments.treatment_or_therapy%2Cdiagnoses.classification_of_tumor%2Cdiagnoses.primary_diagnosis&format=JSON&size=2000	2026-05-28	GDC API live query	444051	c0a0fd98e03e15fc16e73c4e270992b21356e9c3e624c3838334b39cdd6f3713	ok			GDC data use terms; open-access metadata queried	GDC TCGA-STAD case, sample, clinical, and treatment metadata response.
gdc_tcga_stad	downloaded_raw_metadata	data/raw/gdc_tcga_stad/files_tcga_stad_rnaseq_star_counts.json	files_tcga_stad_rnaseq_star_counts.json	https://api.gdc.cancer.gov/files?filters=%7B%22op%22%3A%22and%22%2C%22content%22%3A%5B%7B%22op%22%3A%22%3D%22%2C%22content%22%3A%7B%22field%22%3A%22cases.project.project_id%22%2C%22value%22%3A%22TCGA-STAD%22%7D%7D%2C%7B%22op%22%3A%22%3D%22%2C%22content%22%3A%7B%22field%22%3A%22data_category%22%2C%22value%22%3A%22Transcriptome+Profiling%22%7D%7D%2C%7B%22op%22%3A%22%3D%22%2C%22content%22%3A%7B%22field%22%3A%22data_type%22%2C%22value%22%3A%22Gene+Expression+Quantification%22%7D%7D%2C%7B%22op%22%3A%22%3D%22%2C%22content%22%3A%7B%22field%22%3A%22experimental_strategy%22%2C%22value%22%3A%22RNA-Seq%22%7D%7D%2C%7B%22op%22%3A%22%3D%22%2C%22content%22%3A%7B%22field%22%3A%22analysis.workflow_type%22%2C%22value%22%3A%22STAR+-+Counts%22%7D%7D%5D%7D&fields=file_id%2Cfile_name%2Cmd5sum%2Cfile_size%2Cdata_format%2Canalysis.workflow_type%2Ccases.submitter_id%2Ccases.samples.submitter_id%2Ccases.samples.sample_type%2Ccases.samples.portions.analytes.aliquots.submitter_id&format=JSON&size=2000	2026-05-28	GDC API live query	248100	0afada9d15f74292d8c656ecd33e978b231bb67d919678ee0b4d2ff2ff8cd15e	ok			GDC data use terms; open-access metadata queried	GDC TCGA-STAD RNA-seq STAR Counts file metadata for secondary sensitivity planning.
hpa_downloads	downloaded_raw	data/raw/hpa/cancer_data.tsv.zip	cancer_data.tsv.zip	https://www.proteinatlas.org/download/tsv/cancer_data.tsv.zip	2026-05-28	HPA 25.1; Ensembl 109	1724018	6e771693dc1019a3536d8834175ee97dcfde4f835d5cb3bed7c5a48803668135	ok	Thu, 06 Nov 2025 02:55:32 GMT	1724018	Creative Commons Attribution 4.0 International, with third-party caveats	Cancer pathology IHC evidence; stomach cancer rows drive tumor protein evidence.
hpa_downloads	downloaded_raw	data/raw/hpa/normal_ihc_data.tsv.zip	normal_ihc_data.tsv.zip	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	2026-05-28	HPA 25.1; Ensembl 109	5732831	de63f1720cbf7fe86da28a3e8463cd0e5a97f7c3add6c5a6ba500ff1518eeaea	ok	Thu, 06 Nov 2025 02:55:06 GMT	5732831	Creative Commons Attribution 4.0 International, with third-party caveats	Normal tissue IHC evidence; stomach rows drive normal protein evidence.
hpa_downloads	downloaded_raw	data/raw/hpa/rna_tissue_consensus.tsv.zip	rna_tissue_consensus.tsv.zip	https://www.proteinatlas.org/download/tsv/rna_tissue_consensus.tsv.zip	2026-05-28	HPA 25.1; Ensembl 109	5293680	b001903da23f802c8dfbd1b6b3a8c20b831fedd4932f4bb721b06622d83ae60b	ok	Thu, 06 Nov 2025 03:00:57 GMT	5293680	Creative Commons Attribution 4.0 International, with third-party caveats	HPA consensus RNA tissue expression, including stomach.
hpa_downloads	downloaded_raw	data/raw/hpa/rna_tissue_gtex.tsv.zip	rna_tissue_gtex.tsv.zip	https://www.proteinatlas.org/download/tsv/rna_tissue_gtex.tsv.zip	2026-05-28	HPA 25.1; Ensembl 109	5921184	8b946d52357a762a79c0395b37ed30d7c56dbba3beba0c4451e1e9d3b52659f7	ok	Thu, 06 Nov 2025 03:03:44 GMT	5921184	Creative Commons Attribution 4.0 International, with third-party caveats	HPA GTEx-derived RNA tissue expression, including stomach.
hpa_downloads	downloaded_raw	data/raw/hpa/subcellular_location.tsv.zip	subcellular_location.tsv.zip	https://www.proteinatlas.org/download/tsv/subcellular_location.tsv.zip	2026-05-28	HPA 25.1; Ensembl 109	252331	a9466882bd3328416bcde77c32a6bcb2a17d70183af90e98d032f6f5f781d504	ok	Thu, 06 Nov 2025 02:55:42 GMT	252331	Creative Commons Attribution 4.0 International, with third-party caveats	Subcellular localization evidence used to audit surface/plasma membrane support.
uniprot_reviewed_human	downloaded_raw	data/raw/uniprot/uniprot_reviewed_human_topology.tsv.gz	uniprot_reviewed_human_topology.tsv.gz	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=tsv&fields=accession,id,gene_names,protein_name,ft_topo_dom,ft_transmem,ft_signal,xref_ensembl&query=(reviewed:true)%20AND%20(organism_id:9606)	2026-05-28	UniProt release 2026_01 observed in Fase 1 metadata query	1778081	b27b89d9785d88fbc5a85c6ef0d13943e9f591abb2bf335c3f3e181c0a8ea257	ok			UniProt terms	Reviewed human proteins with topology, transmembrane, signal peptide, and Ensembl mapping fields.
xena_toil_tcga_gtex	downloaded_raw	data/raw/xena_toil/TcgaTargetGTEX_phenotype.txt.gz	TcgaTargetGTEX_phenotype.txt.gz	https://toil.xenahubs.net/download/TcgaTargetGTEX_phenotype.txt.gz	2026-05-28	Toil recompute; phenotype Last-Modified Fri, 09 Apr 2021 20:01:15 GMT	135753	ba4d4461cff0fe5e91cc3e58f793aa47ff3c5d6fbf77d65ccff5a07231aaf2db	ok	Fri, 09 Apr 2021 20:01:15 GMT	135753	UCSC Xena public hub terms	Phenotype table used to select TCGA-STAD tumor, TCGA adjacent normal, and GTEx stomach normal samples.
xena_toil_tcga_gtex	downloaded_raw	data/raw/xena_toil/TcgaTargetGtex_rsem_gene_tpm.gz	TcgaTargetGtex_rsem_gene_tpm.gz	https://toil.xenahubs.net/download/TcgaTargetGtex_rsem_gene_tpm.gz	2026-05-28	Toil recompute; matrix Last-Modified Fri, 09 Apr 2021 20:01:53 GMT	1323254426	a8c36cb16ef82eccb0b6e1e62a2af3ab9d54c1f56735bc59dfac4cbbe2391d4d	ok	Fri, 09 Apr 2021 20:01:53 GMT	1323254426	UCSC Xena public hub terms	Primary log2(TPM+0.001) matrix for TCGA-STAD vs GTEx stomach analysis.
