comparison	n_tumor	n_normal	n_tests	standardized_log2_shift	approx_log2_tpm_shift	power	mean_fdr	simulations	alternative_fraction	bh_fdr	target_power	is_min_detectable
tumor_vs_gtex_stomach	414	175	2696	0.250000	0.469748	0.373889	0.044378	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	0.500000	0.939496	0.996889	0.045031	200	0.100000	0.050000	0.800000	true
tumor_vs_gtex_stomach	414	175	2696	0.750000	1.409244	1.000000	0.045131	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	1.000000	1.878992	1.000000	0.045233	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	1.250000	2.348740	1.000000	0.045754	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	1.500000	2.818488	1.000000	0.044633	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	1.750000	3.288236	1.000000	0.045765	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	2.000000	3.757984	1.000000	0.043664	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	2.250000	4.227732	1.000000	0.045423	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	2.500000	4.697480	1.000000	0.045892	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	2.750000	5.167228	1.000000	0.044140	200	0.100000	0.050000	0.800000	false
tumor_vs_gtex_stomach	414	175	2696	3.000000	5.636976	1.000000	0.045985	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	0.250000	0.428208	0.004370	0.045735	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	0.500000	0.856417	0.427426	0.045598	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	0.750000	1.284625	0.933037	0.044029	200	0.100000	0.050000	0.800000	true
tumor_vs_tcga_adjacent	414	36	2696	1.000000	1.712833	0.998463	0.044951	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	1.250000	2.141042	1.000000	0.045294	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	1.500000	2.569250	1.000000	0.045011	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	1.750000	2.997458	1.000000	0.046579	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	2.000000	3.425667	1.000000	0.043743	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	2.250000	3.853875	1.000000	0.045805	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	2.500000	4.282084	1.000000	0.045114	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	2.750000	4.710292	1.000000	0.044624	200	0.100000	0.050000	0.800000	false
tumor_vs_tcga_adjacent	414	36	2696	3.000000	5.138500	1.000000	0.044323	200	0.100000	0.050000	0.800000	false
